dataset,model,split,n_runs,n_seeds,test_MAE_mean,test_MAE_std,test_MAE_min,test_MAE_max,test_MAE_pm,test_RMSE_mean,test_RMSE_std,test_RMSE_min,test_RMSE_max,test_RMSE_pm,val_MAE_mean,val_MAE_std,val_MAE_min,val_MAE_max,val_MAE_pm,val_RMSE_mean,val_RMSE_std,val_RMSE_min,val_RMSE_max,val_RMSE_pm
ESOL,gin,random,5,5,0.7405,0.1081,0.6188,0.8892,0.7405 ± 0.1081,0.9698,0.1658,0.7933,1.181,0.9698 ± 0.1658,0.6809,0.0547,0.6357,0.7836,0.6809 ± 0.0547,0.8775,0.0769,0.8059,1.0232,0.8775 ± 0.0769
ESOL,gin,scaffold,86,86,0.9858,0.0681,0.8861,1.2449,0.9858 ± 0.0681,1.2526,0.0824,1.1261,1.522,1.2526 ± 0.0824,0.9492,0.0614,0.8645,1.1876,0.9492 ± 0.0614,1.2807,0.0921,1.1112,1.5157,1.2807 ± 0.0921
ESOL,mpnn,random,5,5,1.5436,0.2963,1.2645,2.0966,1.5436 ± 0.2963,1.9535,0.3863,1.6151,2.6897,1.9535 ± 0.3863,1.5777,0.2338,1.2807,1.9855,1.5777 ± 0.2338,2.0451,0.2693,1.7054,2.5126,2.0451 ± 0.2693
ESOL,mpnn,scaffold,86,86,1.7069,0.2833,1.1592,2.6933,1.7069 ± 0.2833,2.2179,0.4003,1.4565,3.4129,2.2179 ± 0.4003,1.6819,0.3005,1.1562,2.6349,1.6819 ± 0.3005,2.0991,0.3205,1.4768,3.0521,2.0991 ± 0.3205
ESOL,random_forest,random,5,5,0.8998,0.0,0.8998,0.8998,0.8998 ± 0.0000,1.1894,0.0,1.1894,1.1894,1.1894 ± 0.0000,0.9257,0.0,0.9257,0.9257,0.9257 ± 0.0000,1.262,0.0,1.262,1.262,1.2620 ± 0.0000
ESOL,random_forest,scaffold,5,5,1.2896,0.0,1.2896,1.2896,1.2896 ± 0.0000,1.7168,0.0,1.7168,1.7168,1.7168 ± 0.0000,1.3198,0.0,1.3198,1.3198,1.3198 ± 0.0000,1.6452,0.0,1.6452,1.6452,1.6452 ± 0.0000
ESOL,ridge,random,5,5,2.7807,0.0,2.7807,2.7807,2.7807 ± 0.0000,3.7816,0.0,3.7816,3.7816,3.7816 ± 0.0000,2.7722,0.0,2.7722,2.7722,2.7722 ± 0.0000,3.9478,0.0,3.9478,3.9478,3.9478 ± 0.0000
ESOL,ridge,scaffold,5,5,3.3011,0.0,3.3011,3.3011,3.3011 ± 0.0000,4.5097,0.0,4.5097,4.5097,4.5097 ± 0.0000,4.5691,0.0,4.5691,4.5691,4.5691 ± 0.0000,5.8087,0.0,5.8087,5.8087,5.8087 ± 0.0000
