trial_idx,status,returncode,run_dir,data.featurizer.atom_features,data.featurizer.bond_features,data.featurizer.use_chirality,data.featurizer.use_ring_features,data.name,data.rdkit.add_hs,data.rdkit.kekulize,data.rdkit.largest_fragment_only,data.rdkit.sanitize,data.root,data.split.ratios,data.split.type,loss.name,metrics.primary,metrics.report,model.activation,model.dropout,model.gcn.add_self_loops,model.gcn.improved,model.gcn.normalize,model.gin.aggregator,model.gin.mlp_layers_per_block,model.gin.train_eps,model.hidden_dim,model.name,model.num_layers,model.pooling.mlp_head_hidden,model.pooling.mlp_head_layers,model.pooling.readout,model.residual,reg.drop_edge_rate,reg.drop_node_feature_rate,reg.l2_on_head,runtime.device,runtime.num_workers,runtime.quiet,runtime.seed,runtime.tqdm,train.amp.enabled,train.batch_size,train.deterministic,train.early_stopping.enabled,train.early_stopping.min_delta,train.early_stopping.mode,train.early_stopping.monitor,train.early_stopping.patience,train.epochs,train.grad_clip_norm,train.optimizer.lr,train.optimizer.name,train.optimizer.weight_decay,train.scheduler.cosine.min_lr_frac,train.scheduler.cosine.t_max_frac,train.scheduler.cosine.warmup_frac,train.scheduler.name,mae,rmse,r2,ece,status
10,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0010__do=0.1__hd=128__m=gcn__nl=4__s=0__ep=200__wd=0__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.1,True,False,True,sum,2,False,128,gcn,4,128,1,add,True,0.0,0.0,0.0,auto,4,False,0,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0,0.0,1.0,0.1,cosine,,,,,fail
11,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0011__do=0.1__hd=128__m=gcn__nl=4__s=1__ep=200__wd=0__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.1,True,False,True,sum,2,False,128,gcn,4,128,1,add,True,0.0,0.0,0.0,auto,4,False,1,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0,0.0,1.0,0.1,cosine,,,,,fail
12,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0012__do=0__hd=128__m=gcn__nl=6__s=0__ep=200__wd=0__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.0,True,False,True,sum,2,False,128,gcn,6,128,1,add,True,0.0,0.0,0.0,auto,4,False,0,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0,0.0,1.0,0.1,cosine,,,,,fail
13,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0013__do=0__hd=128__m=gcn__nl=6__s=1__ep=200__wd=0__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.0,True,False,True,sum,2,False,128,gcn,6,128,1,add,True,0.0,0.0,0.0,auto,4,False,1,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0,0.0,1.0,0.1,cosine,,,,,fail
14,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0014__do=0.1__hd=128__m=gcn__nl=6__s=0__ep=200__wd=0__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.1,True,False,True,sum,2,False,128,gcn,6,128,1,add,True,0.0,0.0,0.0,auto,4,False,0,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0,0.0,1.0,0.1,cosine,,,,,fail
15,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0015__do=0.1__hd=128__m=gcn__nl=6__s=1__ep=200__wd=0__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.1,True,False,True,sum,2,False,128,gcn,6,128,1,add,True,0.0,0.0,0.0,auto,4,False,1,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0,0.0,1.0,0.1,cosine,,,,,fail
16,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0016__do=0__hd=128__m=gin__nl=4__s=0__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.0,True,False,True,sum,2,False,128,gin,4,128,1,add,True,0.0,0.0,0.0,auto,4,False,0,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
17,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0017__do=0__hd=128__m=gin__nl=4__s=1__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.0,True,False,True,sum,2,False,128,gin,4,128,1,add,True,0.0,0.0,0.0,auto,4,False,1,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
18,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0018__do=0.1__hd=128__m=gin__nl=4__s=0__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.1,True,False,True,sum,2,False,128,gin,4,128,1,add,True,0.0,0.0,0.0,auto,4,False,0,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
19,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0019__do=0.1__hd=128__m=gin__nl=4__s=1__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.1,True,False,True,sum,2,False,128,gin,4,128,1,add,True,0.0,0.0,0.0,auto,4,False,1,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
20,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0020__do=0__hd=128__m=gin__nl=6__s=0__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.0,True,False,True,sum,2,False,128,gin,6,128,1,add,True,0.0,0.0,0.0,auto,4,False,0,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
21,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0021__do=0__hd=128__m=gin__nl=6__s=1__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.0,True,False,True,sum,2,False,128,gin,6,128,1,add,True,0.0,0.0,0.0,auto,4,False,1,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
22,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0022__do=0.1__hd=128__m=gin__nl=6__s=0__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.1,True,False,True,sum,2,False,128,gin,6,128,1,add,True,0.0,0.0,0.0,auto,4,False,0,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
23,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0023__do=0.1__hd=128__m=gin__nl=6__s=1__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.1,True,False,True,sum,2,False,128,gin,6,128,1,add,True,0.0,0.0,0.0,auto,4,False,1,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
24,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0024__do=0__hd=128__m=gcn__nl=4__s=0__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.0,True,False,True,sum,2,False,128,gcn,4,128,1,add,True,0.0,0.0,0.0,auto,4,False,0,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
25,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0025__do=0__hd=128__m=gcn__nl=4__s=1__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.0,True,False,True,sum,2,False,128,gcn,4,128,1,add,True,0.0,0.0,0.0,auto,4,False,1,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
26,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0026__do=0.1__hd=128__m=gcn__nl=4__s=0__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.1,True,False,True,sum,2,False,128,gcn,4,128,1,add,True,0.0,0.0,0.0,auto,4,False,0,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
27,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0027__do=0.1__hd=128__m=gcn__nl=4__s=1__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.1,True,False,True,sum,2,False,128,gcn,4,128,1,add,True,0.0,0.0,0.0,auto,4,False,1,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
28,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0028__do=0__hd=128__m=gcn__nl=6__s=0__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.0,True,False,True,sum,2,False,128,gcn,6,128,1,add,True,0.0,0.0,0.0,auto,4,False,0,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
29,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0029__do=0__hd=128__m=gcn__nl=6__s=1__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.0,True,False,True,sum,2,False,128,gcn,6,128,1,add,True,0.0,0.0,0.0,auto,4,False,1,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
30,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0030__do=0.1__hd=128__m=gcn__nl=6__s=0__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.1,True,False,True,sum,2,False,128,gcn,6,128,1,add,True,0.0,0.0,0.0,auto,4,False,0,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
31,fail,1,outputs/grids/esol_small_grid_20251030-000452/trial0031__do=0.1__hd=128__m=gcn__nl=6__s=1__ep=200__wd=0.0001__sch=cosine,basic,basic,False,False,ESOL,False,False,True,True,data,"[0.8, 0.1, 0.1]",scaffold,l1,mae,"['mae', 'rmse', 'r2']",relu,0.1,True,False,True,sum,2,False,128,gcn,6,128,1,add,True,0.0,0.0,0.0,auto,4,False,1,True,True,128,True,True,0.0,min,val/mae,20,200,0.0,0.001,adamw,0.0001,0.0,1.0,0.1,cosine,,,,,fail
